,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
517,valentina,"['high spirits', 'the chinese prime minister', 'the sleeping prince', 'ondine', 'venus observed', 'jane', 'bell book and candle', 'my name is aquilon', 'antony and cleopatra', 'antigone', 'lute song', 'the rugged path', 'seven lively arts', 'without love', 'candle in the wind', 'there shall be no night', 'there shall be no night', 'no time for comedy', 'amphitryon']",19,0,0
518,david van tieghem,"['burn this', 'heisenberg', 'the gin game', 'romeo and juliet', 'the big knife', 'an enemy of the people', 'dont dress for dinner', 'the lyons', 'the normal heart', 'born yesterday', 'arcadia', 'elling', 'mrs warrens profession', 'a behanding in spokane', 'after miss julie', 'a man for all seasons', 'is he dead', 'cyrano de bergerac', 'mauritius', 'inherit the wind', 'three days of rain', 'a touch of the poet', 'a naked girl on the appian way', 'the constant wife', 'doubt', 'the good body', 'reckless', 'frozen', 'the crucible', 'judgment at nuremberg', 'gore vidals the best man', 'uncle vanya', 'night must fall']",33,0,0
519,adrian vaux,"['miss saigon', 'ghetto']",2,0,0
520,levino verna,['absurd person singular'],1,0,0
521,marcel verts,"['la plume de ma tante', 'seventh heaven']",2,0,0
522,patrizia von brandenstein,"['the anarchist', 'hizzoner']",2,0,0
523,jennifer von mayrhauser,"['disgraced', 'wit', 'come back little sheba', 'rabbit hole', 'a thousand clowns', 'crazy he calls me', 'the heidi chronicles', 'the night of the iguana', 'the musical comedy murders of', 'the boys in autumn', 'execution of justice', 'hay fever', 'awake and sing', 'baby', 'passion', 'angels fall', 'steaming', 'the wake of jamey foster', 'beyond therapy', 'solomons child', 'eminent domain', 'special occasions', 'the father', 'john gabriel borkman', 'hide and seek', 'censored scenes from king kong', 'talleys folly', 'da', 'knock knock']",29,0,0
524,voytek,['strange interlude'],1,1,1
525,robin wagner,"['leap of faith', 'young frankenstein', 'a chorus line', 'never gonna dance', 'the boy from oz', 'flower drum song', 'the producers', 'the wild party', 'kiss me kate', 'saturday night fever', 'side show', 'the life', 'big', 'victor  victoria', 'angels in america perestroika', 'angels in america millennium approaches', 'jellys last jam', 'crazy for you', 'city of angels', 'jerome robbins broadway', 'chess', 'teddy alice', 'dreamgirls', 'song and dance', 'merlin', 'dreamgirls', 'one night stand', '', 'comin uptown', 'ballroom', 'on the twentieth century', 'hair', 'a chorus line', 'the fifth dimension with jo jos dance factory', 'mack mabel', 'rachael lily rosenbloom and dont you ever forget it', 'full circle', 'seesaw', 'lysistrata', 'sugar', 'inner city', 'jesus christ superstar', 'lenny', 'the engagement baby', 'gantry', 'my daughter your son', 'the watering place', 'promises promises', 'the great white hope', 'the cuban thing', 'lovers and other strangers', 'hair', 'the trial of lee harvey oswald', 'galileo', 'the condemned of altona', 'baker street', 'luv', 'hello dolly', '', 'harold', 'the aspern papers', 'big fish little fish']",62,1,9
526,tony walton,"['a tale of two cities', 'well', 'our town', 'im not rappaport', 'seussical', 'the man who came to dinner', 'uncle vanya', 'taller than a dwarf', 'annie get your gun', '', 'king david', 'steel pier', 'a funny thing happened on the way to the forum', 'company', 'picnic', 'laughter on the', 'a grand night for singing', 'she loves me', 'tommy tune tonite', 'guys and dolls', 'conversations with my father', 'four baboons adoring the sun', 'death and the maiden', 'the will rogers follies', 'six degrees of separation', 'grand hotel', 'lend me a tenor', 'jerome robbins broadway', 'canciones de mi padre', 'anything goes', 'the front page', 'the house of blue leaves', 'social security', 'im not rappaport', 'leader of the pack', 'whoopi goldberg', 'hurlyburly', 'the real thing', 'little me', 'woman of the year', 'sophisticated ladies', 'a day in hollywood  a night in the ukraine', 'the act', 'streamers', 'chicago', 'bette midlers clams on the half shell revue', 'the good doctor', 'uncle vanya', 'shelter', 'pippin', 'the apple tree', 'golden boy', 'the rehearsal', 'a funny thing happened on the way to the forum', 'once there was a russian']",55,1,14
527,mary mease warren,['the first breeze of summer'],1,0,0
528,dale wasserman,"['man of la mancha', 'one flew over the cuckoos nest', 'man of la mancha', 'man of la mancha', 'man of la mancha', 'man of la mancha', 'one flew over the cuckoos nest', 'livin the life', 'the azuma kabuki dancers and musicians', 'the azuma kabuki dancers and musicians']",10,0,0
529,perry watkins,"['harbor lights', 'forward the heart', 'beggars holiday', 'blue holiday', 'take it as it comes', 'manhattan nocturne', 'bright lights of', 'run little chillun', 'three men on a horse', 'under this roof', 'big white fog', 'mambas daughters', 'mambas daughters', 'pinocchio', 'androcles and the lion', 'haiti', 'one act plays of the sea']",17,0,0
530,lee watson,"['do you know the milky way', 'the importance of being oscar', 'a lovely light', 'the legend of lizzie', 'the night circus', 'the next president', 'portofino', 'miss isobel', 'the cave dwellers', 'mask and gown', 'a moon for the misbegotten', 'protective custody', 'girls of summer', 'harbor lights', 'the lovers', 'the diary of anne frank', 'a view from the bridge  a memory of two mondays']",17,0,0
531,ned wayburn,"['smiles', 'ned wayburns gambols', 'ziegfeld follies of', 'ziegfeld follies of', 'lady butterfly', 'ziegfeld follies of', 'two little girls in blue', 'hitchy koo', 'poor little ritz girl', 'ed wynns carnival', 'the night boat', 'ziegfeld nine oclock review', 'ziegfeld follies of', 'ziegfeld midnight frolic', 'ziegfeld follies of', 'miss', 'ziegfeld follies of', 'ziegfeld follies of', 'ned wayburns town topics', 'shes in again', 'hello broadway', 'the passing show of', 'the passing show of', 'the honeymoon express', 'the sun dodgers', 'from broadway to paris', 'the passing show of', 'peggy', 'the wife hunters', 'the never homes', 'a la broadway', 'hello paris', 'the hen pecks', 'the summer widowers', 'tillies nightmare', 'the yankee girl', 'the prince of bohemia', 'the jolly bachelors', 'the goddess of liberty', 'old dutch', 'the girl and the wizard', 'the rose of algeria', 'havana', 'mr hamlet of broadway', 'mlle mischief', 'school days', 'the mimic world', 'the flower of the ranch', 'the time the place and the girl', 'the ham tree', 'the white cat', 'fritz in tammany hall', 'the rogers brothers in ireland', 'the ham tree', 'the pearl and the pumpkin', 'lifting the lid', 'in newport', 'the rogers brothers in paris', 'a little bit of everything', 'mother goose', 'the rogers brothers in london', 'mr bluebeard', 'the billionaire', 'the belle of broadway', 'the hall of fame', 'the night of the fourth', 'star and garter', 'by the sad sea waves']",68,0,0
532,michael weight,"['separate tables', 'the winslow boy']",2,0,0
533,ken welch,"['the blonde in the thunderbird', 'if you ever leave meim going with you', 'barry manilow at the gershwin']",3,0,0
534,mitzi welch,"['the blonde in the thunderbird', 'if you ever leave meim going with you', 'barry manilow at the gershwin', 'do i hear a waltz', 'fade out  fade in', 'the student gypsy']",6,0,0
535,peter wexler,"['a broadway musical', 'murderous angels', 'the trial of the catonsville nine', 'minnies boys', 'camino real', 'in the matter of j robert oppenheimer', 'in the matter of j robert oppenheimer', 'the happy time', 'a joyful noise', 'a family affair']",10,1,1
536,rex whistler,"['love for love', 'victoria regina', 'victoria regina', 'victoria regina']",4,0,0
537,miles white,"['jerome robbins broadway', 'toller cranstons the ice show', 'best friend', 'tricks', 'candida', 'milk and honey', 'show girl', 'the unsinkable molly brown', 'bye bye birdie', 'take me along', 'chri', 'oh captain', 'time remembered', 'jamaica', 'eugenia', 'ankles aweigh', 'the girl in pink tights', 'oklahoma', 'hazel flagg', 'twos company', 'three wishes for jamie', 'pal joey', 'oklahoma', 'bless you all', 'gentlemen prefer blondes', 'carousel', 'high button shoes', 'bloomer girl', 'the duchess of malfi', 'gypsy lady', 'the day before spring', 'carousel', 'bloomer girl', 'dream with music', 'allah be praised', 'early to bed', 'ziegfeld follies of', 'oklahoma', 'the pirate', 'best foot forward', 'right this way']",41,0,0
538,vantile whitfield,['the amen corner'],1,0,0
539,richard whorf,"['julia jake and uncle joe', 'the genius and the goddess', 'ondine', 'richard iii', 'cyrano de bergerac', 'the fifth season', 'faithfully yours', 'seventeen', 'the royal family', 'season in the sun', 'king richard iii', 'angel street', 'volpone', 'but not goodbye', 'old acquaintance', 'fledgling', 'there shall be no night', 'there shall be no night', 'the seagull', 'amphitryon', 'idiots delight', 'the taming of the shrew', 'panic', 'fools rush in', 'spring freshet', 'the lady from the sea', 'whatever possessed her', 'three cornered moon', 'foolscap', 'red planet', 'monkey', 'the banshee']",32,0,0
540,marc wilkinson,"['the misanthrope', 'equus', 'rosencrantz and guildenstern are dead', 'the royal hunt of the sun']",4,0,0
541,norman wilkinson,['iolanthe'],1,0,0
542,robert t williams,"['charleys aunt', 'a warm body', 'the glass menagerie', 'a girl could get lucky']",4,0,0
543,gordon willis,['singin in the rain'],1,0,0
544,claggett wilson,['the taming of the shrew'],1,0,0
545,ferry windberger,['wiener blut'],1,0,0
546,peter wingate,"['high spirits', 'hamlet', 'the octoroon', 'the plough and the stars', 'she stoops to conquer', 'the andersonville trial', 'the great god brown']",7,0,0
547,freddy wittop,"['wind in the willows', 'jerrys girls', 'the three musketeers', 'hello dolly', 'lovely ladies kind gentlemen', 'a patriot for me', 'dear world', 'george m', 'the happy time', 'breakfast at tiffanys', 'i do i do', '', 'on a clear day you can see forever', 'the roar of the greasepaint  the smell of the crowd', 'kelly', 'bajour', 'hello dolly', 'subways are for sleeping', 'carnival', 'heartbreak house', 'beat the band']",21,0,0
548,ed wittstein,"['king of schnorrers', 'ulysses in nighttown', 'tough to get help', 'ring around the bathtub', 'happy birthday wanda june', 'blood red roses', 'celebration', 'the man in the glass booth', 'before you go', 'you know i cant hear you when the waters running', 'the natural look', 'the office', 'the yearling', 'and things that go bump in the night', 'the white house', 'a rainy day in newark', 'chips with everything', 'enter laughing', 'bravo giovanni', 'kean', 'transposed heads']",21,1,1
549,peter wolf,"['the king and i', 'the wiz', 'mame', 'the music man', 'blackstone', 'peter pan', 'the king and i', 'guys and dolls', 'west side story', 'the devils disciple', 'the heiress', 'the corn is green', 'she stoops to conquer', 'kiss me kate', 'the linden tree', 'sweethearts', 'around the world']",17,0,0
550,fanchon wolff,['sun kist'],1,0,0
551,donald wolfit,"['all in good time', 'tamburlaine the great', 'hamlet', 'volpone', 'the merchant of venice', 'as you like it', 'king lear']",7,0,0
552,albert wolsky,"['the heiress', 'the country girl', 'sly fox', 'wallys cafe', 'tricks of the trade', 'sly fox', 'they knew what they wanted', 'a memory of two mondays', 'all over town', 'the jockey club stakes', 'the sunshine boys', 'the trial of the catonsville nine', 'illya darling', 'i do i do', 'pousse caf', 'generation', 'the odd couple', 'fiddler on the roof', 'the chinese prime minister', 'a case of libel']",20,0,0
553,reginald woolley,['the boy friend'],1,0,0
554,nigel wright,['saturday night fever'],1,0,0
555,john wulp,"['passione', 'bosoms and neglect', 'gorey stories', 'the crucifer of blood', 'dracula']",5,1,1
556,stuart wurtzel,"['wallys cafe', 'unexpected guests', 'summer brave', 'the hashish club', 'the island', 'sizwe banzi is dead', 'hosanna', 'a flea in her ear', 'tiny alice']",9,0,0
557,john wyckham,"['oliver', 'beyond the fringe', 'oliver', 'beyond the fringe']",4,0,0
558,kenneth m yount,"['chu chem', 'children of a lesser god', 'oh calcutta']",3,0,0
559,louie zakarian,"['spider man turn off the dark', 'dance of the vampires']",2,0,0
560,franco zeffirelli,"['filumena', 'saturday sunday monday', 'the lady of the camellias', 'romeo and juliet']",4,1,1
561,patricia zipprodt,"['my fair lady', 'my favorite year', 'the master builder', 'a little hotel on the side', 'the crucible', 'shogun the musical', 'fiddler on the roof', 'cat on a hot tin roof', 'dangerous games', 'jerome robbins broadway', 'macbeth', 'into the woods', 'cabaret', 'sweet charity', 'big deal', 'accidental death of an anarchist', 'sunday in the park with george', 'the glass menagerie', 'brighton beach memoirs', 'whodunnit', 'alice in wonderland', 'kingdoms', 'fiddler on the roof', 'fools', 'one night stand', 'charlotte', 'king of hearts', 'stages', 'fiddler on the roof', 'poor murderer', 'chicago', 'all gods chillun got wings', 'mack mabel', 'pippin', 'scratch', 'georgy', '', 'zorba', 'plaza suite', 'the little foxes', 'cabaret', 'pousse caf', 'anya', 'fiddler on the roof', 'oh dad poor dad mammas hung you in the closet and im feelin so sad', 'she loves me', 'step on a crack', 'sunday in new york', 'the garden of sweets', 'period of adjustment', 'the gangs all here', 'the night circus', 'back to methuselah', 'the rope dancers', 'miss lonelyhearts', 'a visit to a small planet', 'the potting shed', 'happy hunting']",58,0,0
562,barbara zmed,[],0,0,0
